popsize,restart_tolerance,self_instead_neighbour,sigma,shubert,mean,mad
64,0.00000001,0.88,0.28,inf,inf,inf
64,0.00000001,0.88,0.32,inf,inf,inf
64,0.00000001,0.88,0.35999998,inf,inf,inf
64,0.00000001,0.88,0.39999998,inf,inf,inf
64,0.00000001,0.88,0.43999997,inf,inf,inf
64,0.00000001,0.88,0.48,inf,inf,inf
64,0.00000001,0.88,0.52,inf,inf,inf
64,0.00000001,0.88,0.56,inf,inf,inf
64,0.00000001,0.88,0.6,inf,inf,inf
64,0.00000001,0.88,0.64,inf,inf,inf
64,0.00000001,0.88,0.68,inf,inf,inf
64,0.00000001,0.88,0.72,inf,inf,inf
64,0.00000001,0.88,0.76,inf,inf,inf
64,0.00000001,0.88,0.8,inf,inf,inf
64,0.00000001,0.88,0.84,inf,inf,inf
64,0.00000001,0.88,0.88,inf,inf,inf
64,0.00000001,0.88,0.92,inf,inf,inf
64,0.00000001,0.88,0.96,inf,inf,inf
64,0.00000001,0.91999996,0.04,inf,inf,inf
64,0.00000001,0.91999996,0.08,inf,inf,inf
64,0.00000001,0.91999996,0.12,inf,inf,inf
64,0.00000001,0.91999996,0.16,inf,inf,inf
64,0.00000001,0.91999996,0.19999999,inf,inf,inf
64,0.00000001,0.91999996,0.23999998,inf,inf,inf
64,0.00000001,0.91999996,0.28,inf,inf,inf
64,0.00000001,0.91999996,0.32,inf,inf,inf
64,0.00000001,0.91999996,0.35999998,inf,inf,inf
64,0.00000001,0.91999996,0.39999998,inf,inf,inf
64,0.00000001,0.91999996,0.43999997,inf,inf,inf
64,0.00000001,0.91999996,0.48,inf,inf,inf
64,0.00000001,0.91999996,0.52,inf,inf,inf
64,0.00000001,0.91999996,0.56,inf,inf,inf
64,0.00000001,0.91999996,0.6,inf,inf,inf
64,0.00000001,0.91999996,0.64,inf,inf,inf
64,0.00000001,0.91999996,0.68,inf,inf,inf
64,0.00000001,0.91999996,0.72,inf,inf,inf
64,0.00000001,0.91999996,0.76,inf,inf,inf
64,0.00000001,0.91999996,0.8,inf,inf,inf
64,0.00000001,0.91999996,0.84,inf,inf,inf
64,0.00000001,0.91999996,0.88,inf,inf,inf
64,0.00000001,0.91999996,0.92,inf,inf,inf
64,0.00000001,0.91999996,0.96,inf,inf,inf
64,0.00000001,0.96,0.12,inf,inf,inf
64,0.00000001,0.96,0.16,inf,inf,inf
64,0.00000001,0.96,0.19999999,inf,inf,inf
64,0.00000001,0.96,0.23999998,inf,inf,inf
64,0.00000001,0.96,0.28,inf,inf,inf
64,0.00000001,0.96,0.32,inf,inf,inf
64,0.00000001,0.96,0.35999998,inf,inf,inf
64,0.00000001,0.96,0.39999998,inf,inf,inf
64,0.00000001,0.96,0.43999997,inf,inf,inf
64,0.00000001,0.96,0.48,inf,inf,inf
64,0.00000001,0.96,0.52,inf,inf,inf
64,0.00000001,0.96,0.56,inf,inf,inf
64,0.00000001,0.96,0.6,inf,inf,inf
64,0.00000001,0.96,0.64,inf,inf,inf
64,0.00000001,0.96,0.68,inf,inf,inf
64,0.00000001,0.96,0.72,inf,inf,inf
64,0.00000001,0.96,0.76,inf,inf,inf
64,0.00000001,0.96,0.8,inf,inf,inf
64,0.00000001,0.96,0.84,inf,inf,inf
64,0.00000001,0.96,0.88,inf,inf,inf
64,0.00000001,0.96,0.92,inf,inf,inf
64,0.00000001,0.96,0.96,inf,inf,inf
